customer_id,last,freq,money,recency,R,F,M,Segment
55,2024-11-04 14:50:00,8,2380.87,57,High,High,High,High High High
56,2024-09-01 20:26:00,2,502.97,121,Med,Low,Low,Med Low Low
57,2024-09-16 08:32:00,5,1356.54,106,Med,Med,Med,Med Med Med
58,2024-10-17 06:23:00,4,3541.01,75,Med,Med,High,Med Med High
59,2024-12-10 02:07:00,32,7856.29,21,High,High,High,High High High
60,2024-06-20 07:21:00,6,2299.89,194,Low,Med,Med,Low Med Med
61,2024-12-14 17:04:00,31,8797.18,17,High,High,High,High High High
62,2024-08-14 19:00:00,5,3902.31,139,Med,Med,High,Med Med High
63,2024-12-29 15:52:00,24,9221.649898819394,2,High,High,High,High High High
64,2023-12-08 23:22:00,2,768.8399999999999,388,Low,Low,Low,Low Low Low
65,2024-07-03 18:59:00,5,2352.34,181,Med,Med,High,Med Med High
66,2024-12-27 16:33:00,36,17752.0601525867,4,High,High,High,High High High
67,2024-10-11 02:12:00,8,4879.0861038396615,81,Med,High,High,Med High High
68,2024-05-15 16:30:00,3,686.78,230,Low,Low,Low,Low Low Low
69,2024-10-28 07:05:00,3,948.72,64,Med,Low,Low,Med Low Low
70,2024-12-01 23:20:00,2,445.74,29,High,Low,Low,High Low Low
71,2024-12-17 22:28:00,5,1195.8272375454185,13,High,Med,Med,High Med Med
72,2024-10-28 04:49:00,4,5809.49,64,Med,Med,High,Med Med High
73,2024-09-11 06:45:00,4,944.9499999999999,111,Med,Med,Low,Med Med Low
74,2024-10-21 09:13:00,8,1406.92,71,Med,High,Med,Med High Med
75,2024-09-09 16:47:00,5,1472.09,113,Med,Med,Med,Med Med Med
76,2023-11-07 05:09:00,1,1609.3000000000002,420,Low,Low,Med,Low Low Med
77,2024-11-26 07:11:00,7,2473.3399999999997,35,High,High,High,High High High
78,2024-09-16 19:50:00,4,2003.33,106,Med,Med,Med,Med Med Med
79,2024-12-14 10:32:00,6,2167.65,17,High,Med,Med,High Med Med
80,2024-12-22 02:20:00,37,14815.720000000001,9,High,High,High,High High High
81,2024-02-12 15:04:00,3,564.47,323,Low,Low,Low,Low Low Low
82,2024-12-18 07:58:00,35,11553.06,13,High,High,High,High High High
83,2023-12-30 13:20:00,6,2339.0,367,Low,Med,High,Low Med High
84,2024-09-25 01:37:00,4,430.78,97,Med,Med,Low,Med Med Low
85,2023-01-02 15:58:00,1,152.72,729,Low,Low,Low,Low Low Low
86,2024-08-13 05:49:00,3,1634.3700000000001,140,Med,Low,Med,Med Low Med
87,2024-12-24 11:49:00,44,15958.05,7,High,High,High,High High High
88,2024-04-07 00:59:00,1,189.28,268,Low,Low,Low,Low Low Low
89,2024-08-22 12:15:00,5,48353.11,131,Med,Med,High,Med Med High
90,2024-11-21 13:16:00,6,1437.81,40,High,Med,Med,High Med Med
91,2024-10-18 02:41:00,5,1732.67,74,Med,Med,Med,Med Med Med
92,2024-11-09 09:03:00,7,2875.41,52,High,High,High,High High High
93,2023-11-05 05:54:00,7,2427.3,422,Low,High,High,Low High High
94,2023-07-17 13:24:00,1,179.07,533,Low,Low,Low,Low Low Low
95,2024-01-04 13:31:00,1,43.53,362,Low,Low,Low,Low Low Low
96,2024-12-20 00:29:00,6,1891.4099999999999,11,High,Med,Med,High Med Med
97,2024-11-03 14:01:00,29,11366.28,58,High,High,High,High High High
98,2024-11-23 23:16:00,6,2617.21,37,High,Med,High,High Med High
99,2024-10-22 18:36:00,30,18760.930865106347,70,Med,High,High,Med High High
100,2024-12-16 19:29:00,47,15557.72,15,High,High,High,High High High
101,2024-09-13 03:06:00,2,640.7,109,Med,Low,Low,Med Low Low
102,2024-11-05 00:58:00,11,3788.8,56,High,High,High,High High High
103,2024-06-28 09:59:00,6,1435.35,186,Low,Med,Med,Low Med Med
104,2024-12-17 21:46:00,4,735.4300000000001,14,High,Med,Low,High Med Low
105,2024-12-25 16:18:00,46,17845.881205601603,6,High,High,High,High High High
106,2024-09-19 03:27:00,5,1658.2990628152938,103,Med,Med,Med,Med Med Med
107,2024-12-10 13:44:00,5,3044.079080709539,21,High,Med,High,High Med High
108,2024-09-13 15:10:00,5,1978.81,109,Med,Med,Med,Med Med Med
109,2024-11-24 21:33:00,8,1996.73,37,High,High,Med,High High Med
110,2024-11-16 06:59:00,12,6340.97,45,High,High,High,High High High
111,2024-12-19 03:02:00,7,4504.41,12,High,High,High,High High High
112,2024-12-15 12:02:00,5,1141.73,16,High,Med,Med,High Med Med
113,2024-12-30 06:20:00,4,3251.1400000000003,1,High,Med,High,High Med High
114,2024-02-27 20:05:00,2,619.62,308,Low,Low,Low,Low Low Low
115,2024-08-30 14:59:00,5,1679.23,123,Med,Med,Med,Med Med Med
116,2024-06-01 12:25:00,6,1580.91,213,Low,Med,Med,Low Med Med
117,2024-12-26 19:18:00,8,2705.95,5,High,High,High,High High High
118,2024-10-13 00:46:00,18,6454.27,79,Med,High,High,Med High High
119,2024-08-14 06:28:00,6,3667.8,139,Med,Med,High,Med Med High
120,2024-04-10 05:45:00,2,1872.6133794481009,265,Low,Low,Med,Low Low Med
121,2024-03-13 08:09:00,1,258.67,293,Low,Low,Low,Low Low Low
122,2024-12-19 05:01:00,19,4997.21,12,High,High,High,High High High
123,2024-12-21 00:10:00,31,10551.36,10,High,High,High,High High High
124,2024-07-26 15:58:00,3,1053.66,158,Med,Low,Low,Med Low Low
125,2023-07-10 21:49:00,1,100.02000000000001,540,Low,Low,Low,Low Low Low
126,2024-12-11 23:47:00,8,4552.8,19,High,High,High,High High High
127,2024-11-22 02:26:00,46,20127.17315103655,39,High,High,High,High High High
128,2024-02-03 21:57:00,7,1639.68,332,Low,High,Med,Low High Med
129,2024-12-23 00:23:00,50,15942.04215716661,8,High,High,High,High High High
130,2024-08-31 07:38:00,3,978.3600000000001,122,Med,Low,Low,Med Low Low
131,2023-11-27 17:59:00,1,92.1,400,Low,Low,Low,Low Low Low
132,2024-11-15 19:00:00,48,16960.26855750647,46,High,High,High,High High High
133,2024-03-18 14:26:00,2,701.5,288,Low,Low,Low,Low Low Low
134,2024-10-03 16:47:00,3,964.55,89,Med,Low,Low,Med Low Low
135,2024-09-08 19:41:00,2,241.88,114,Med,Low,Low,Med Low Low
136,2024-10-07 10:13:00,7,1257.8082879993215,85,Med,High,Med,Med High Med
137,2024-04-08 15:13:00,3,653.3199999999999,267,Low,Low,Low,Low Low Low
138,2024-12-23 20:24:00,48,19018.89,8,High,High,High,High High High
139,2024-10-02 12:35:00,8,1941.09,90,Med,High,Med,Med High Med
140,2024-10-17 22:29:00,7,2094.31,74,Med,High,Med,Med High Med
141,2023-03-10 01:00:00,2,1668.48,662,Low,Low,Med,Low Low Med
142,2024-02-23 01:25:00,4,838.21,312,Low,Med,Low,Low Med Low
143,2024-06-10 06:17:00,4,2163.09,204,Low,Med,Med,Low Med Med
144,2024-01-18 00:04:00,4,1400.26,348,Low,Med,Med,Low Med Med
145,2024-03-30 00:39:00,4,4511.991575907443,276,Low,Med,High,Low Med High
146,2024-10-28 20:29:00,8,2490.0,64,Med,High,High,Med High High
147,2023-03-26 13:31:00,1,58.98,646,Low,Low,Low,Low Low Low
148,2024-10-14 04:58:00,7,1967.3200000000002,78,Med,High,Med,Med High Med
149,2024-09-07 08:07:00,7,1142.92,115,Med,High,Med,Med High Med
150,2024-10-14 04:06:00,2,251.2,78,Med,Low,Low,Med Low Low
151,2024-06-18 04:52:00,2,767.6500000000001,196,Low,Low,Low,Low Low Low
152,2024-11-18 10:22:00,5,2172.42,43,High,Med,Med,High Med Med
153,2024-09-10 04:06:00,7,3901.51,112,Med,High,High,Med High High
154,2024-09-23 07:56:00,5,2502.04,99,Med,Med,High,Med Med High
155,2024-12-07 15:11:00,7,2094.7200000000003,24,High,High,Med,High High Med
156,2024-06-22 08:08:00,5,1193.32,192,Low,Med,Med,Low Med Med
157,2024-12-13 06:22:00,46,21446.54,18,High,High,High,High High High
158,2024-11-06 15:51:00,8,3300.08,55,High,High,High,High High High
159,2024-12-31 20:31:00,35,14464.867583134966,0,High,High,High,High High High
160,2024-02-21 22:59:00,3,935.31,313,Low,Low,Low,Low Low Low
161,2024-11-02 22:48:00,7,3330.25,58,High,High,High,High High High
162,2024-05-10 00:46:00,8,4534.370000000001,235,Low,High,High,Low High High
163,2023-01-11 06:40:00,2,1034.97,720,Low,Low,Low,Low Low Low
164,2024-12-03 00:31:00,7,3292.31,28,High,High,High,High High High
165,2023-04-30 09:15:00,1,718.84,611,Low,Low,Low,Low Low Low
166,2024-07-08 05:56:00,6,1523.6399999999999,176,Med,Med,Med,Med Med Med
167,2024-06-05 10:55:00,1,52.12,209,Low,Low,Low,Low Low Low
168,2024-12-01 10:37:00,34,12180.07,30,High,High,High,High High High
169,2024-10-13 14:32:00,7,3659.9900000000002,79,Med,High,High,Med High High
170,2024-12-28 02:06:00,23,8985.92856741188,3,High,High,High,High High High
171,2024-12-12 12:11:00,5,1631.93,19,High,Med,Med,High Med Med
172,2024-07-25 05:02:00,5,2627.79,159,Med,Med,High,Med Med High
173,2024-03-19 15:57:00,5,2640.2799999999997,287,Low,Med,High,Low Med High
174,2023-04-01 11:58:00,1,850.29,640,Low,Low,Low,Low Low Low
175,2024-06-29 16:04:00,6,2546.287098149182,185,Low,Med,High,Low Med High
176,2024-01-03 12:49:00,5,1249.9,363,Low,Med,Med,Low Med Med
177,2023-12-08 08:54:00,1,351.18,389,Low,Low,Low,Low Low Low
178,2024-11-09 19:35:00,6,1792.92,52,High,Med,Med,High Med Med
179,2024-12-17 13:24:00,5,2381.6,14,High,Med,High,High Med High
180,2024-12-19 02:41:00,7,2252.01,12,High,High,Med,High High Med
181,2024-02-12 12:33:00,1,72.18,323,Low,Low,Low,Low Low Low
182,2024-12-03 07:27:00,6,1657.73,28,High,Med,Med,High Med Med
183,2024-12-24 09:45:00,8,2137.1,7,High,High,Med,High High Med
184,2024-07-17 21:39:00,5,1241.25,167,Med,Med,Med,Med Med Med
185,2024-12-17 07:23:00,8,3862.1600000000003,14,High,High,High,High High High
186,2024-12-25 20:48:00,6,1005.41,6,High,Med,Low,High Med Low
187,2023-07-22 02:33:00,2,3281.4123110006117,528,Low,Low,High,Low Low High
188,2024-12-20 10:22:00,35,13506.359999999999,11,High,High,High,High High High
189,2024-11-02 01:25:00,6,3356.84,59,Med,Med,High,Med Med High
190,2024-07-13 00:55:00,6,4111.0,171,Med,Med,High,Med Med High
191,2024-10-05 15:44:00,5,3133.7200000000003,87,Med,Med,High,Med Med High
192,2024-12-30 10:28:00,8,3040.5600000000004,1,High,High,High,High High High
193,2023-08-20 22:58:00,2,371.25,498,Low,Low,Low,Low Low Low
194,2024-12-07 01:36:00,7,1701.87,24,High,High,Med,High High Med
195,2024-09-22 06:17:00,14,4208.392034690681,100,Med,High,High,Med High High
196,2023-06-03 17:53:00,1,269.86,577,Low,Low,Low,Low Low Low
197,2024-01-28 14:43:00,8,3219.71,338,Low,High,High,Low High High
198,2024-12-05 00:55:00,44,18574.47858735322,26,High,High,High,High High High
199,2024-04-20 20:18:00,3,1894.52,255,Low,Low,Med,Low Low Med
200,2024-10-28 02:26:00,6,2040.55,64,Med,Med,Med,Med Med Med
201,2024-04-17 07:34:00,4,966.92,258,Low,Med,Low,Low Med Low
202,2024-09-06 12:54:00,4,1528.22,116,Med,Med,Med,Med Med Med
203,2024-11-16 06:59:00,34,14740.43,45,High,High,High,High High High
204,2024-03-03 19:32:00,2,838.79,303,Low,Low,Low,Low Low Low
205,2024-12-09 23:41:00,6,1528.52,21,High,Med,Med,High Med Med
206,2024-11-21 00:39:00,22,8549.871053573013,40,High,High,High,High High High
207,2024-12-23 03:49:00,40,11741.48,8,High,High,High,High High High
208,2024-10-19 15:45:00,6,1470.99,73,Med,Med,Med,Med Med Med
209,2024-12-25 12:50:00,16,8617.67,6,High,High,High,High High High
210,2024-08-15 20:10:00,7,2317.3199999999997,138,Med,High,Med,Med High Med
211,2024-12-25 02:09:00,4,920.04,6,High,Med,Low,High Med Low
212,2024-09-24 18:41:00,8,1853.89,98,Med,High,Med,Med High Med
213,2024-10-15 20:23:00,1,312.78,77,Med,Low,Low,Med Low Low
214,2024-12-09 09:01:00,8,5088.130731818065,22,High,High,High,High High High
215,2024-03-04 09:13:00,2,1259.6999999999998,302,Low,Low,Med,Low Low Med
216,2024-11-22 05:39:00,31,10048.142237800259,39,High,High,High,High High High
217,2024-07-31 15:08:00,4,2270.5299999999997,153,Med,Med,Med,Med Med Med
218,2023-08-07 21:58:00,2,2213.06,512,Low,Low,Med,Low Low Med
219,2024-10-02 05:27:00,6,3241.676763745441,90,Med,Med,High,Med Med High
220,2024-07-28 01:42:00,4,794.9599999999999,156,Med,Med,Low,Med Med Low
221,2024-12-02 11:20:00,46,19807.62,29,High,High,High,High High High
222,2024-05-22 12:25:00,6,2643.01,223,Low,Med,High,Low Med High
223,2024-10-03 20:45:00,7,3874.8399999999997,89,Med,High,High,Med High High
224,2024-11-08 04:37:00,4,929.6899999999999,53,High,Med,Low,High Med Low
225,2024-11-06 10:24:00,4,1036.59,55,High,Med,Low,High Med Low
226,2023-06-25 20:26:00,1,83.96,555,Low,Low,Low,Low Low Low
227,2024-06-23 13:18:00,3,1612.22,191,Low,Low,Med,Low Low Med
228,2024-10-21 16:38:00,4,1144.23,71,Med,Med,Med,Med Med Med
229,2024-10-16 00:21:00,3,1431.44,76,Med,Low,Med,Med Low Med
230,2024-02-18 22:50:00,4,1468.16,316,Low,Med,Med,Low Med Med
231,2023-11-15 03:10:00,2,1298.91,412,Low,Low,Med,Low Low Med
232,2024-05-19 13:16:00,5,923.46,226,Low,Med,Low,Low Med Low
233,2024-12-14 23:44:00,1,146.48,16,High,Low,Low,High Low Low
234,2024-12-27 06:07:00,4,4059.74,4,High,Med,High,High Med High
235,2024-02-16 13:57:00,2,2975.61,319,Low,Low,High,Low Low High
236,2024-12-13 21:00:00,3,5531.349999999999,18,High,Low,High,High Low High
237,2024-12-27 00:46:00,5,3197.87,4,High,Med,High,High Med High
238,2024-02-13 07:11:00,1,179.79,322,Low,Low,Low,Low Low Low
239,2024-12-20 05:50:00,38,17596.84,11,High,High,High,High High High
240,2024-11-16 17:34:00,5,2092.7323525251977,45,High,Med,Med,High Med Med
241,2024-07-19 15:03:00,3,2021.4999999999998,165,Med,Low,Med,Med Low Med
242,2024-01-08 06:25:00,2,119.53999999999999,358,Low,Low,Low,Low Low Low
243,2024-07-09 13:46:00,5,2063.7,175,Med,Med,Med,Med Med Med
244,2024-06-05 05:07:00,1,222.95000000000002,209,Low,Low,Low,Low Low Low
245,2024-12-28 05:22:00,6,2906.039592289824,3,High,Med,High,High Med High
246,2024-08-11 08:25:00,3,624.4,142,Med,Low,Low,Med Low Low
247,2024-02-18 22:15:00,1,1267.75,317,Low,Low,Med,Low Low Med
248,2024-11-16 03:05:00,50,18078.181382464827,45,High,High,High,High High High
249,2024-08-03 03:00:00,8,2122.96,150,Med,High,Med,Med High Med
250,2024-05-17 01:19:00,2,250.29000000000002,228,Low,Low,Low,Low Low Low
251,2024-12-20 00:07:00,29,9844.58,11,High,High,High,High High High
252,2024-11-03 08:50:00,7,3926.4,58,High,High,High,High High High
253,2024-05-15 07:30:00,2,401.57,230,Low,Low,Low,Low Low Low
254,2024-06-20 07:11:00,5,1662.3000000000002,194,Low,Med,Med,Low Med Med
255,2024-12-26 11:58:00,15,6165.67,5,High,High,High,High High High
256,2024-12-01 08:00:00,20,10902.86,30,High,High,High,High High High
257,2024-12-13 09:53:00,16,6174.92,18,High,High,High,High High High
258,2024-03-13 02:16:00,3,847.01,293,Low,Low,Low,Low Low Low
259,2024-12-22 05:43:00,45,19162.082333800798,9,High,High,High,High High High
260,2024-11-19 17:06:00,7,2209.05,42,High,High,Med,High High Med
261,2024-02-28 14:49:00,1,119.9,307,Low,Low,Low,Low Low Low
262,2024-08-07 20:23:00,5,1110.21,146,Med,Med,Low,Med Med Low
263,2024-09-07 11:59:00,8,5181.668691946073,115,Med,High,High,Med High High
264,2024-11-13 01:55:00,21,8354.42,48,High,High,High,High High High
265,2024-09-02 17:28:00,12,6764.040715448212,120,Med,High,High,Med High High
266,2024-09-06 21:36:00,1,470.65,116,Med,Low,Low,Med Low Low
267,2024-11-18 04:54:00,5,4425.95,43,High,Med,High,High Med High
268,2024-11-22 02:32:00,8,4246.55,39,High,High,High,High High High
269,2024-09-23 17:53:00,8,3964.4,99,Med,High,High,Med High High
270,2024-12-15 17:32:00,4,1444.54,16,High,Med,Med,High Med Med
271,2024-12-11 20:44:00,48,14008.1,20,High,High,High,High High High
272,2024-12-19 08:53:00,4,1585.88,12,High,Med,Med,High Med Med
273,2024-12-31 18:41:00,41,17623.63,0,High,High,High,High High High
274,2024-04-16 15:39:00,3,688.73,259,Low,Low,Low,Low Low Low
275,2024-09-01 20:30:00,11,2967.3900000000003,121,Med,High,High,Med High High
276,2024-08-26 15:40:00,2,2899.6099999999997,127,Med,Low,High,Med Low High
277,2023-06-10 15:23:00,1,17.06,570,Low,Low,Low,Low Low Low
278,2024-08-13 12:25:00,2,137.44,140,Med,Low,Low,Med Low Low
279,2024-11-15 16:31:00,2,1369.4800000000002,46,High,Low,Med,High Low Med
280,2024-12-03 21:51:00,21,7050.17,28,High,High,High,High High High
281,2024-11-28 11:47:00,4,958.21,33,High,Med,Low,High Med Low
282,2024-09-22 21:15:00,5,2909.86,100,Med,Med,High,Med Med High
283,2024-11-26 02:01:00,1,261.02,35,High,Low,Low,High Low Low
284,2024-06-27 23:53:00,8,3567.35,186,Low,High,High,Low High High
285,2024-04-23 20:06:00,1,230.21,252,Low,Low,Low,Low Low Low
286,2024-11-14 23:02:00,6,3178.7400000000002,46,High,Med,High,High Med High
287,2024-09-30 09:39:00,7,2818.67,92,Med,High,High,Med High High
288,2024-03-08 08:40:00,4,2442.83,298,Low,Med,High,Low Med High
289,2024-10-04 19:54:00,22,5880.66,88,Med,High,High,Med High High
290,2024-07-19 04:11:00,7,1746.56,165,Med,High,Med,Med High Med
291,2024-11-24 13:29:00,5,1403.76,37,High,Med,Med,High Med Med
292,2024-01-23 18:13:00,2,2875.9799999999996,343,Low,Low,High,Low Low High
293,2024-08-26 04:17:00,6,1766.2700000000002,127,Med,Med,Med,Med Med Med
294,2024-03-04 14:01:00,4,2644.45,302,Low,Med,High,Low Med High
295,2024-06-05 19:57:00,5,1480.1100000000001,209,Low,Med,Med,Low Med Med
296,2024-12-12 20:32:00,7,1941.1799999999998,19,High,High,Med,High High Med
297,2024-03-09 05:43:00,3,847.49,297,Low,Low,Low,Low Low Low
298,2024-05-28 10:33:00,2,479.84000000000003,217,Low,Low,Low,Low Low Low
299,2024-07-14 20:23:00,8,3446.12,170,Med,High,High,Med High High
300,2023-07-17 12:08:00,1,211.77,533,Low,Low,Low,Low Low Low
301,2024-12-12 06:41:00,7,2346.26,19,High,High,High,High High High
302,2024-12-29 21:46:00,14,4718.57,2,High,High,High,High High High
303,2024-11-23 09:54:00,4,2610.85,38,High,Med,High,High Med High
304,2024-11-30 03:24:00,4,1427.38,31,High,Med,Med,High Med Med
305,2023-11-05 02:48:00,1,151.21,422,Low,Low,Low,Low Low Low
306,2024-04-02 11:58:00,4,4501.89,273,Low,Med,High,Low Med High
307,2024-10-23 14:58:00,8,2005.97,69,Med,High,Med,Med High Med
308,2024-06-30 16:02:00,8,3353.6000000000004,184,Med,High,High,Med High High
309,2024-05-03 01:43:00,7,4468.13,242,Low,High,High,Low High High
310,2024-11-13 13:08:00,7,2786.2000000000003,48,High,High,High,High High High
311,2024-11-04 02:04:00,8,2383.87,57,High,High,High,High High High
312,2024-05-16 17:31:00,8,2739.16,229,Low,High,High,Low High High
313,2024-11-24 23:43:00,8,4618.23452211265,36,High,High,High,High High High
314,2023-11-04 21:11:00,4,1406.8700000000001,423,Low,Med,Med,Low Med Med
315,2024-12-16 18:53:00,34,12632.39,15,High,High,High,High High High
316,2024-11-10 20:25:00,7,1098.42,51,High,High,Low,High High Low
317,2024-12-31 04:18:00,28,7257.25,0,High,High,High,High High High
318,2024-12-21 17:45:00,23,6106.74,10,High,High,High,High High High
319,2024-09-25 09:32:00,5,3486.37,97,Med,Med,High,Med Med High
320,2024-12-19 04:52:00,24,11696.48763267252,12,High,High,High,High High High
321,2024-12-23 21:03:00,28,14103.69,8,High,High,High,High High High
322,2024-12-19 19:29:00,4,1144.3,12,High,Med,Med,High Med Med
323,2024-08-19 02:20:00,4,1184.37,134,Med,Med,Med,Med Med Med
324,2024-12-23 08:29:00,43,14489.16,8,High,High,High,High High High
325,2024-07-18 13:21:00,4,1207.79,166,Med,Med,Med,Med Med Med
326,2024-10-12 09:12:00,8,5089.08,80,Med,High,High,Med High High
327,2024-10-27 14:44:00,14,7693.045159809349,65,Med,High,High,Med High High
328,2024-09-03 00:48:00,5,2599.37,119,Med,Med,High,Med Med High
329,2024-08-05 12:21:00,4,1302.1,148,Med,Med,Med,Med Med Med
330,2024-11-18 07:50:00,1,83.94,43,High,Low,Low,High Low Low
331,2024-04-27 07:42:00,2,804.23,248,Low,Low,Low,Low Low Low
332,2023-07-15 23:13:00,4,2021.787569888324,534,Low,Med,Med,Low Med Med
333,2024-11-08 15:17:00,2,1033.48,53,High,Low,Low,High Low Low
334,2024-07-31 16:33:00,5,1256.17,153,Med,Med,Med,Med Med Med
335,2023-11-10 11:41:00,1,238.36,417,Low,Low,Low,Low Low Low
336,2024-07-15 13:04:00,6,2661.97,169,Med,Med,High,Med Med High
337,2024-12-18 03:20:00,39,20460.087385536284,13,High,High,High,High High High
338,2024-12-14 14:47:00,13,5046.63,17,High,High,High,High High High
339,2024-12-12 10:17:00,33,13899.66,19,High,High,High,High High High
340,2024-12-01 22:21:00,5,2451.77,29,High,Med,High,High Med High
341,2024-12-30 08:51:00,2,912.34,1,High,Low,Low,High Low Low
342,2024-12-20 07:10:00,43,15108.61,11,High,High,High,High High High
343,2024-10-03 15:34:00,8,1089.46,89,Med,High,Low,Med High Low
344,2024-10-27 21:58:00,5,907.65,65,Med,Med,Low,Med Med Low
345,2024-08-01 10:53:00,10,5877.9800000000005,152,Med,High,High,Med High High
346,2024-12-14 20:23:00,20,8279.34,17,High,High,High,High High High
347,2024-12-28 07:38:00,4,2330.908772290542,3,High,Med,High,High Med High
348,2024-12-25 08:17:00,30,8110.06,6,High,High,High,High High High
349,2024-12-05 02:43:00,36,11511.610549662053,26,High,High,High,High High High
350,2024-02-27 20:45:00,2,1689.8899999999999,308,Low,Low,Med,Low Low Med
351,2024-12-01 07:37:00,6,1809.925377049271,30,High,Med,Med,High Med Med
352,2024-12-02 17:44:00,8,5242.870000000001,29,High,High,High,High High High
353,2024-09-21 14:54:00,8,4215.8099999999995,101,Med,High,High,Med High High
354,2024-10-21 04:06:00,7,2062.89,71,Med,High,Med,Med High Med
355,2024-08-24 21:00:00,7,5112.02,129,Med,High,High,Med High High
356,2024-08-09 18:09:00,8,3397.85,144,Med,High,High,Med High High
357,2023-10-04 05:35:00,1,174.12,454,Low,Low,Low,Low Low Low
358,2023-01-13 13:12:00,1,71.02,718,Low,Low,Low,Low Low Low
359,2024-11-16 09:12:00,8,2409.851233582079,45,High,High,High,High High High
360,2023-02-02 15:24:00,2,1434.9,698,Low,Low,Med,Low Low Med
361,2024-06-12 00:37:00,3,775.32,202,Low,Low,Low,Low Low Low
362,2023-07-26 16:47:00,5,408.29999999999995,524,Low,Med,Low,Low Med Low
363,2024-11-21 00:21:00,35,12999.24,40,High,High,High,High High High
364,2024-12-01 22:03:00,6,2413.86,30,High,Med,High,High Med High
365,2024-09-29 23:44:00,7,4159.84,92,Med,High,High,Med High High
