customer_id,signup,first_tx,days_since_signup,avg_days_btwn,cat_div,pref_payment
59,2022-08-19,2023-02-23 22:51:00,188,20.677419354838708,4,Debit Card
60,2023-08-26,2023-02-09 23:27:00,-198,99.0,3,PayPal
61,2022-08-14,2023-01-05 19:18:00,144,23.2,1,Debit Card
62,2023-10-09,2023-08-01 10:07:00,-69,94.5,4,Cash
63,2022-02-02,2023-01-10 13:45:00,342,30.782608695652176,2,Cash
64,2022-09-01,2023-03-25 04:18:00,205,258.0,2,Bank Transfer
65,2022-08-08,2023-04-04 05:51:00,239,113.75,1,Credit Card
66,2023-08-08,2023-02-07 02:29:00,-182,19.142857142857142,3,Credit Card
67,2023-04-30,2023-02-22 10:50:00,-67,84.85714285714286,1,Cash
68,2022-04-10,2023-01-14 12:28:00,279,243.0,1,Bank Transfer
69,2023-02-25,2024-01-12 18:15:00,321,144.5,2,Bank Transfer
70,2022-02-25,2024-03-14 18:53:00,748,262.0,1,Cash
71,2024-01-16,2023-02-01 21:51:00,-349,171.0,1,Credit Card
72,2022-04-22,2023-08-17 09:13:00,482,145.33333333333334,1,Credit Card
73,2023-07-04,2023-07-21 21:19:00,17,138.33333333333334,2,PayPal
74,2022-07-07,2023-04-22 17:41:00,289,77.71428571428571,3,PayPal
75,2022-03-19,2023-01-11 00:51:00,298,151.75,1,Debit Card
76,2023-07-18,2023-11-07 05:09:00,112,,1,Cash
77,2023-07-08,2023-01-07 11:50:00,-182,114.33333333333333,4,Credit Card
78,2024-02-11,2023-10-17 21:36:00,-117,111.33333333333333,3,Cash
79,2023-05-13,2023-02-11 08:24:00,-91,134.0,1,Debit Card
80,2023-02-15,2023-02-24 23:51:00,9,18.083333333333332,2,PayPal
81,2022-01-03,2023-06-29 02:12:00,542,113.5,2,Cash
82,2023-04-11,2023-01-13 22:41:00,-88,20.205882352941178,1,Debit Card
83,2024-01-19,2023-04-18 15:30:00,-276,50.8,3,PayPal
84,2023-05-14,2023-03-22 15:32:00,-53,183.66666666666666,2,Cash
85,2022-08-11,2023-01-02 15:58:00,144,,1,PayPal
86,2023-07-10,2023-11-18 20:51:00,131,133.5,1,Credit Card
87,2022-02-28,2023-01-09 05:22:00,315,16.13953488372093,3,Credit Card
88,2023-05-30,2024-04-07 00:59:00,313,,1,Credit Card
89,2023-06-05,2023-02-18 19:16:00,-107,137.0,2,PayPal
90,2022-03-12,2023-06-01 15:55:00,446,107.2,1,Bank Transfer
91,2022-08-29,2023-01-09 11:02:00,133,161.25,2,Bank Transfer
92,2023-08-07,2023-01-15 15:37:00,-204,110.16666666666667,3,Bank Transfer
93,2022-02-10,2023-02-17 16:31:00,372,43.166666666666664,2,Bank Transfer
94,2023-11-05,2023-07-17 13:24:00,-111,,1,Cash
95,2022-11-20,2024-01-04 13:31:00,410,,1,Cash
96,2024-01-04,2023-04-19 02:22:00,-260,121.8,3,Debit Card
97,2023-02-10,2023-01-14 02:25:00,-27,23.0,4,PayPal
98,2022-11-04,2023-04-06 11:01:00,153,119.0,2,Credit Card
99,2024-02-09,2023-01-06 01:50:00,-399,22.17241379310345,3,Bank Transfer
100,2023-09-29,2023-01-01 16:23:00,-271,15.065217391304348,1,Debit Card
101,2022-03-17,2024-07-04 04:24:00,840,70.0,1,Bank Transfer
102,2022-09-29,2023-01-13 09:43:00,106,65.7,1,PayPal
103,2022-03-12,2023-05-18 13:01:00,432,81.0,1,PayPal
104,2022-06-11,2023-10-27 15:29:00,503,138.66666666666666,3,Debit Card
105,2023-12-22,2023-01-31 11:03:00,-325,14.955555555555556,2,Cash
106,2023-11-01,2023-01-09 15:59:00,-296,154.25,2,Cash
107,2023-07-22,2023-03-03 15:53:00,-141,161.5,1,Debit Card
108,2022-04-17,2023-02-11 14:49:00,300,144.75,3,Debit Card
109,2022-04-20,2023-03-24 22:16:00,338,87.0,3,Debit Card
110,2022-10-16,2023-02-06 03:33:00,113,58.54545454545455,4,PayPal
111,2022-12-18,2023-02-01 16:02:00,45,114.0,3,Credit Card
112,2022-09-28,2023-12-21 06:11:00,449,89.5,2,Cash
113,2022-02-22,2023-02-01 06:36:00,344,232.33333333333334,2,PayPal
114,2022-10-11,2023-02-08 19:01:00,120,384.0,2,Debit Card
115,2024-02-29,2023-11-01 18:28:00,-120,75.25,3,PayPal
116,2022-09-26,2023-02-10 10:29:00,137,95.0,2,Debit Card
117,2023-07-19,2023-06-04 00:38:00,-45,81.28571428571429,3,Credit Card
118,2022-04-25,2023-01-20 03:50:00,270,36.588235294117645,1,PayPal
119,2023-12-09,2023-06-17 15:32:00,-175,84.0,1,Credit Card
120,2023-01-14,2023-04-23 22:15:00,99,352.0,2,Debit Card
121,2023-03-17,2024-03-13 08:09:00,362,,1,Cash
122,2023-01-09,2023-01-19 09:33:00,10,38.333333333333336,2,Cash
123,2022-08-04,2023-01-16 18:32:00,165,22.966666666666665,2,Bank Transfer
124,2022-12-29,2023-07-29 20:55:00,212,181.0,3,Bank Transfer
125,2023-02-21,2023-07-10 21:49:00,139,,1,Cash
126,2022-08-31,2023-01-27 02:10:00,149,97.28571428571429,1,Debit Card
127,2022-07-01,2023-02-18 20:05:00,232,13.777777777777779,1,Credit Card
128,2024-01-25,2023-02-03 14:48:00,-356,60.333333333333336,2,Credit Card
129,2023-02-26,2023-01-12 05:17:00,-45,14.0,4,Credit Card
130,2023-12-20,2023-03-15 00:37:00,-280,267.0,2,Cash
131,2022-02-09,2023-11-27 17:59:00,656,,1,Bank Transfer
132,2023-04-17,2023-01-01 02:41:00,-106,14.106382978723405,4,Cash
133,2022-08-22,2023-06-29 00:36:00,311,263.0,1,Bank Transfer
134,2022-07-17,2023-01-09 17:16:00,176,316.0,2,Bank Transfer
135,2022-03-13,2023-08-04 04:02:00,509,401.0,1,Debit Card
136,2023-06-06,2023-10-23 14:33:00,139,57.666666666666664,2,Cash
137,2023-07-04,2023-03-26 04:03:00,-100,189.0,2,Credit Card
138,2022-04-29,2023-02-09 00:50:00,286,14.085106382978724,3,Credit Card
139,2022-09-29,2023-01-30 20:41:00,123,86.71428571428571,4,Debit Card
140,2023-03-21,2023-06-04 18:18:00,75,82.83333333333333,3,Cash
141,2022-11-18,2023-03-10 00:52:00,112,0.0,2,Bank Transfer
142,2023-06-08,2023-09-01 03:27:00,85,57.666666666666664,2,Cash
143,2023-08-14,2023-03-14 04:42:00,-153,150.66666666666666,2,Cash
144,2023-12-27,2023-01-26 06:53:00,-335,118.66666666666667,1,Bank Transfer
145,2023-07-06,2023-01-21 20:25:00,-166,144.0,1,Credit Card
146,2022-03-13,2023-05-27 07:00:00,440,73.71428571428571,2,PayPal
147,2023-11-11,2023-03-26 13:31:00,-230,,1,Debit Card
148,2022-11-04,2023-01-16 21:12:00,73,105.5,4,Debit Card
149,2023-02-23,2023-05-02 13:18:00,68,81.83333333333333,4,PayPal
150,2022-10-30,2023-07-06 12:19:00,249,465.0,1,Cash
151,2023-03-07,2023-01-29 13:16:00,-37,505.0,1,Cash
152,2022-06-28,2023-03-19 18:31:00,264,152.0,1,PayPal
153,2023-02-20,2023-01-09 04:00:00,-42,101.33333333333333,2,Cash
154,2022-11-08,2023-05-11 21:19:00,184,124.75,1,PayPal
155,2023-08-17,2023-03-15 12:31:00,-155,105.0,1,Bank Transfer
156,2023-04-22,2023-12-30 07:30:00,252,43.0,2,Credit Card
157,2022-08-07,2023-02-17 18:49:00,194,14.244444444444444,3,Cash
158,2024-01-24,2023-06-08 10:04:00,-230,73.28571428571429,3,Bank Transfer
159,2022-10-18,2023-01-03 10:57:00,77,20.970588235294116,4,Debit Card
160,2023-09-27,2023-11-07 21:36:00,41,52.5,2,Cash
161,2024-02-09,2023-04-11 06:34:00,-304,94.83333333333333,4,PayPal
162,2022-08-19,2023-02-18 21:49:00,183,63.42857142857143,4,Credit Card
163,2022-02-17,2023-01-11 06:25:00,328,0.0,1,Debit Card
164,2023-09-18,2023-02-11 07:40:00,-219,109.5,4,Cash
165,2023-10-07,2023-04-30 09:15:00,-160,,1,Cash
166,2023-12-15,2023-04-12 05:22:00,-247,90.0,2,Bank Transfer
167,2022-09-07,2024-06-05 10:55:00,637,,1,Debit Card
168,2022-01-06,2023-01-09 21:40:00,368,19.794117647058822,2,Bank Transfer
169,2022-08-13,2023-03-05 20:04:00,204,97.33333333333333,1,Cash
170,2023-12-14,2023-03-16 01:29:00,-273,29.136363636363637,4,Credit Card
171,2023-07-25,2023-03-22 10:14:00,-125,157.25,1,Debit Card
172,2022-05-05,2023-07-07 10:36:00,428,95.75,3,Cash
173,2023-04-21,2023-04-17 03:52:00,-4,83.75,1,PayPal
174,2023-09-02,2023-04-01 11:58:00,-154,,1,Bank Transfer
175,2023-03-30,2023-03-04 22:12:00,-26,96.2,1,Cash
176,2023-06-01,2023-02-13 17:37:00,-108,80.25,1,Debit Card
177,2023-07-16,2023-12-08 08:54:00,145,,1,Cash
178,2024-02-01,2023-03-29 10:05:00,-309,117.8,3,Credit Card
179,2024-02-09,2023-05-07 15:57:00,-278,147.25,3,Debit Card
180,2022-10-11,2023-01-17 00:24:00,98,116.5,3,Bank Transfer
181,2022-09-02,2024-02-12 12:33:00,528,,1,Cash
182,2024-01-01,2023-04-03 15:37:00,-273,121.4,3,Cash
183,2022-12-10,2023-03-23 11:28:00,103,91.28571428571429,4,Bank Transfer
184,2022-03-24,2023-04-23 22:10:00,395,112.25,2,PayPal
185,2023-01-28,2023-01-04 20:52:00,-24,101.14285714285714,1,PayPal
186,2022-03-07,2023-12-16 06:55:00,649,74.6,2,Bank Transfer
187,2023-07-10,2023-04-14 13:31:00,-87,98.0,2,Credit Card
188,2022-07-31,2023-01-06 22:33:00,159,20.558823529411764,4,Debit Card
189,2024-02-28,2023-05-06 04:42:00,-298,108.8,3,Debit Card
190,2022-01-21,2023-01-20 06:14:00,364,89.83333333333333,2,Bank Transfer
191,2022-01-07,2023-06-12 17:35:00,521,119.5,2,Debit Card
192,2023-02-04,2023-01-31 02:02:00,-4,99.57142857142857,3,Bank Transfer
193,2024-01-23,2023-08-20 22:42:00,-156,0.0,1,Bank Transfer
194,2022-08-14,2023-06-07 11:47:00,297,91.0,1,PayPal
195,2023-03-23,2023-01-09 23:47:00,-73,47.07692307692308,2,Credit Card
196,2022-12-11,2023-06-03 17:53:00,174,,1,Cash
197,2023-04-24,2023-01-26 11:02:00,-88,51.857142857142854,1,Credit Card
198,2023-07-01,2023-01-18 00:10:00,-164,15.488372093023257,3,Credit Card
199,2023-08-30,2023-07-23 00:00:00,-38,136.0,3,PayPal
200,2022-03-27,2023-03-10 06:13:00,348,119.0,2,Bank Transfer
201,2023-04-18,2023-05-01 10:11:00,13,117.0,2,Debit Card
202,2023-01-24,2023-04-01 02:26:00,67,174.0,2,PayPal
203,2022-12-01,2023-01-16 02:27:00,46,19.78787878787879,3,PayPal
204,2023-01-24,2023-08-18 04:12:00,206,198.0,2,Bank Transfer
205,2023-03-08,2023-05-03 21:38:00,56,116.8,2,Debit Card
206,2023-04-27,2023-01-15 14:52:00,-102,31.61904761904762,3,PayPal
207,2022-02-23,2023-01-07 17:39:00,318,17.897435897435898,4,PayPal
208,2022-03-12,2023-01-30 21:29:00,324,104.33333333333333,2,PayPal
209,2022-09-11,2023-01-19 08:32:00,130,46.53333333333333,3,Debit Card
210,2023-09-29,2023-05-06 09:25:00,-146,77.66666666666667,1,Cash
211,2023-04-30,2023-12-17 05:42:00,231,124.33333333333333,1,Debit Card
212,2022-08-12,2023-02-10 05:55:00,182,84.14285714285714,2,Cash
213,2024-02-25,2024-10-15 20:23:00,233,,1,PayPal
214,2023-09-14,2023-06-15 20:19:00,-91,77.0,3,Cash
215,2022-06-17,2023-01-19 16:07:00,216,409.0,1,PayPal
216,2022-01-27,2023-01-11 11:31:00,349,22.233333333333334,4,PayPal
217,2023-01-20,2023-01-05 17:29:00,-15,190.66666666666666,2,Debit Card
218,2022-07-23,2023-05-01 15:05:00,282,98.0,2,Credit Card
219,2023-10-05,2023-02-01 09:13:00,-246,121.2,2,Credit Card
220,2024-03-02,2023-02-12 09:34:00,-384,176.66666666666666,1,Debit Card
221,2023-09-07,2023-01-26 13:34:00,-224,14.511111111111111,1,PayPal
222,2023-08-03,2023-02-20 04:28:00,-164,91.0,2,Credit Card
223,2023-03-15,2023-09-23 07:21:00,192,62.166666666666664,2,Credit Card
224,2023-10-26,2023-02-05 23:57:00,-263,213.33333333333334,1,PayPal
225,2023-03-07,2023-03-31 17:12:00,24,194.66666666666666,1,Debit Card
226,2023-01-06,2023-06-25 20:26:00,170,,1,PayPal
227,2023-03-22,2023-06-14 10:07:00,84,187.0,1,Cash
228,2023-10-29,2023-09-18 09:17:00,-41,132.66666666666666,1,Cash
229,2023-07-06,2024-02-02 08:26:00,211,128.0,2,Debit Card
230,2024-01-19,2024-01-09 22:35:00,-10,13.0,2,Credit Card
231,2022-09-09,2023-09-24 10:41:00,380,51.0,2,Bank Transfer
232,2023-04-07,2023-05-01 19:39:00,24,95.75,2,Bank Transfer
233,2023-08-07,2024-12-14 23:44:00,495,,1,Credit Card
234,2022-12-11,2023-05-24 11:47:00,164,193.66666666666666,2,Debit Card
235,2022-11-29,2023-09-13 06:54:00,288,156.0,1,Credit Card
236,2022-12-30,2023-02-06 04:18:00,38,225.0,2,Debit Card
237,2023-09-03,2023-03-07 22:34:00,-180,164.25,3,PayPal
238,2023-06-14,2024-02-13 07:11:00,244,,1,Debit Card
239,2024-01-08,2023-01-13 00:51:00,-360,18.56756756756757,3,PayPal
240,2024-02-16,2023-01-02 04:31:00,-410,170.5,3,PayPal
241,2023-10-24,2023-05-09 13:44:00,-168,218.0,2,Credit Card
242,2022-01-18,2023-11-11 02:20:00,662,58.0,1,Credit Card
243,2023-02-19,2023-01-17 05:08:00,-33,134.25,2,Cash
244,2023-08-19,2024-06-05 05:07:00,291,,1,Cash
245,2023-06-28,2024-03-03 09:49:00,249,59.4,2,PayPal
246,2024-02-03,2023-03-04 21:16:00,-336,262.5,1,Credit Card
247,2023-12-21,2024-02-18 22:15:00,59,,1,Bank Transfer
248,2022-09-15,2023-01-30 07:58:00,137,12.877551020408163,3,Cash
249,2022-07-17,2023-06-20 00:26:00,338,58.285714285714285,3,Credit Card
250,2023-07-03,2024-05-17 00:36:00,319,0.0,1,Cash
251,2024-01-27,2023-01-02 21:34:00,-390,25.071428571428573,1,Bank Transfer
252,2023-08-27,2024-02-25 00:38:00,182,41.5,2,PayPal
253,2022-04-13,2023-10-30 16:46:00,565,197.0,2,Bank Transfer
254,2023-01-05,2023-02-22 13:31:00,48,120.5,1,Bank Transfer
255,2023-12-27,2023-02-02 12:33:00,-328,49.07142857142857,4,Credit Card
256,2022-02-16,2023-01-06 20:00:00,324,36.1578947368421,1,Cash
257,2023-12-16,2023-03-05 13:40:00,-286,42.8,1,Debit Card
258,2024-02-10,2023-09-15 06:56:00,-148,89.5,2,Credit Card
259,2022-01-13,2023-01-05 00:36:00,357,15.795454545454545,4,Bank Transfer
260,2023-05-06,2023-01-17 15:19:00,-109,111.33333333333333,2,Bank Transfer
261,2022-02-22,2024-02-28 14:49:00,736,,1,Cash
262,2023-05-05,2023-06-01 17:27:00,27,107.5,4,Bank Transfer
263,2023-02-15,2023-05-17 08:13:00,91,68.0,2,Bank Transfer
264,2023-10-07,2023-03-03 12:18:00,-218,30.6,3,PayPal
265,2023-07-31,2023-04-03 20:26:00,-119,46.54545454545455,3,Cash
266,2022-09-12,2024-09-06 21:36:00,725,,1,Debit Card
267,2023-03-03,2023-01-13 12:12:00,-49,168.5,2,Bank Transfer
268,2023-09-26,2023-01-15 08:56:00,-254,96.42857142857143,1,Bank Transfer
269,2023-01-25,2023-01-28 07:45:00,3,85.85714285714286,2,Bank Transfer
270,2022-11-01,2023-04-17 01:22:00,167,202.33333333333334,2,Debit Card
271,2022-11-09,2023-02-20 02:08:00,103,13.595744680851064,2,PayPal
272,2023-09-17,2023-05-02 11:55:00,-138,198.33333333333334,2,Bank Transfer
273,2022-08-01,2023-01-09 05:16:00,161,17.5,2,Credit Card
274,2022-03-25,2023-02-08 10:12:00,320,216.0,3,Cash
275,2023-07-20,2023-01-08 10:55:00,-193,54.27272727272727,2,Cash
276,2023-02-23,2023-11-08 13:39:00,258,292.0,1,Debit Card
277,2023-04-27,2023-06-10 15:23:00,44,,1,Bank Transfer
278,2022-10-23,2024-06-17 19:36:00,603,56.0,1,PayPal
279,2023-04-10,2024-02-20 00:23:00,316,269.0,1,Cash
280,2022-09-28,2023-04-30 17:04:00,214,28.65,4,Debit Card
281,2022-07-22,2023-03-03 12:04:00,224,211.33333333333334,3,Bank Transfer
282,2022-08-19,2023-03-12 21:43:00,205,139.5,2,Cash
283,2022-05-26,2024-11-26 02:01:00,915,,1,Debit Card
284,2022-11-11,2023-04-30 02:28:00,170,60.142857142857146,1,PayPal
285,2023-08-06,2024-04-23 20:06:00,261,,1,Bank Transfer
286,2023-04-25,2023-03-21 00:22:00,-35,120.4,3,PayPal
287,2022-10-06,2023-02-09 23:46:00,126,99.16666666666667,4,Bank Transfer
288,2023-03-25,2023-03-05 06:08:00,-20,122.33333333333333,2,Bank Transfer
289,2023-03-19,2023-04-09 06:02:00,21,25.38095238095238,4,Credit Card
290,2022-01-27,2023-05-24 07:09:00,482,69.83333333333333,1,Debit Card
291,2023-11-22,2023-02-06 14:48:00,-289,163.75,3,PayPal
292,2022-01-22,2024-01-23 17:56:00,731,0.0,1,Debit Card
293,2024-02-21,2023-06-12 19:54:00,-254,87.6,3,Debit Card
294,2023-10-30,2023-03-07 19:21:00,-237,120.33333333333333,1,PayPal
295,2022-07-05,2023-05-20 12:15:00,319,95.25,3,Bank Transfer
296,2023-05-19,2023-01-19 12:59:00,-120,115.16666666666667,2,PayPal
297,2023-02-23,2023-07-12 02:17:00,139,120.0,1,Bank Transfer
298,2022-04-18,2024-01-19 12:55:00,641,129.0,2,Cash
299,2023-12-12,2023-03-28 21:38:00,-259,67.28571428571429,1,PayPal
300,2023-02-15,2023-07-17 12:08:00,152,,1,Debit Card
301,2022-04-01,2023-05-01 16:42:00,395,97.83333333333333,1,Debit Card
302,2022-04-29,2023-02-06 12:40:00,283,52.69230769230769,1,Credit Card
303,2022-01-02,2023-04-22 17:19:00,475,193.33333333333334,1,Cash
304,2022-02-25,2024-04-20 20:11:00,785,74.0,2,Credit Card
305,2023-09-30,2023-11-05 02:48:00,36,,1,Bank Transfer
306,2024-02-18,2023-01-14 01:00:00,-400,147.66666666666666,2,Cash
307,2023-07-17,2023-05-25 19:57:00,-53,73.28571428571429,2,Bank Transfer
308,2023-03-25,2023-01-05 14:18:00,-79,76.85714285714286,2,Cash
309,2023-10-08,2023-02-23 13:15:00,-227,71.83333333333333,3,Debit Card
310,2023-12-28,2023-03-24 03:35:00,-279,99.66666666666667,3,Bank Transfer
311,2022-01-15,2023-01-19 17:10:00,369,92.85714285714286,3,Credit Card
312,2022-08-19,2023-02-26 17:49:00,191,63.142857142857146,2,Credit Card
313,2022-05-01,2023-10-17 14:52:00,534,57.285714285714285,3,PayPal
314,2024-01-04,2023-03-31 01:59:00,-279,72.33333333333333,1,Debit Card
315,2022-10-07,2023-01-28 10:30:00,113,20.454545454545453,3,Cash
316,2023-04-29,2023-04-19 17:11:00,-10,94.5,1,Bank Transfer
317,2022-05-29,2023-02-05 10:56:00,252,25.25925925925926,1,Credit Card
318,2023-09-06,2023-02-18 19:37:00,-200,30.0,3,Cash
319,2022-05-20,2023-03-31 10:11:00,315,135.5,1,Credit Card
320,2023-03-01,2023-03-17 23:25:00,16,27.52173913043478,4,Bank Transfer
321,2023-06-04,2023-03-05 16:50:00,-91,23.925925925925927,3,PayPal
322,2022-10-17,2023-02-28 21:19:00,134,219.33333333333334,1,Debit Card
323,2023-08-17,2023-04-05 02:16:00,-134,125.0,2,Debit Card
324,2023-04-03,2023-01-09 08:30:00,-84,16.523809523809526,1,Bank Transfer
325,2022-12-07,2023-01-21 10:14:00,45,181.0,2,PayPal
326,2023-01-22,2023-06-18 19:55:00,147,68.28571428571429,4,Bank Transfer
327,2022-07-13,2023-01-08 08:03:00,179,50.07692307692308,4,Cash
328,2022-08-28,2023-04-20 02:13:00,235,125.25,1,Cash
329,2024-02-02,2023-04-10 14:49:00,-298,160.33333333333334,1,Debit Card
330,2023-01-26,2024-11-18 07:50:00,662,,1,Debit Card
331,2023-10-30,2023-04-16 20:38:00,-197,376.0,2,Bank Transfer
332,2022-02-07,2023-07-15 22:36:00,523,0.0,1,Bank Transfer
333,2023-08-28,2023-11-26 23:30:00,90,347.0,1,Bank Transfer
334,2023-03-27,2023-11-05 09:47:00,223,66.75,3,Credit Card
335,2023-04-13,2023-11-10 11:41:00,211,,1,Credit Card
336,2023-02-24,2023-08-20 08:00:00,177,65.4,1,Credit Card
337,2024-03-11,2023-01-08 03:38:00,-428,18.210526315789473,1,Credit Card
338,2023-12-11,2023-02-16 18:49:00,-298,55.083333333333336,4,PayPal
339,2022-12-03,2023-03-02 19:00:00,89,19.875,1,Debit Card
340,2022-11-21,2023-02-19 17:38:00,90,162.5,3,Credit Card
341,2022-02-06,2023-07-29 02:28:00,538,520.0,1,Bank Transfer
342,2023-10-09,2023-02-12 02:29:00,-239,15.595238095238095,4,Cash
343,2024-02-04,2023-01-25 13:24:00,-375,87.71428571428571,1,Debit Card
344,2022-04-11,2023-09-09 21:59:00,516,103.0,2,Cash
345,2023-12-12,2023-01-06 09:25:00,-340,63.22222222222222,4,Credit Card
346,2022-02-17,2023-02-07 14:24:00,355,35.0,4,Credit Card
347,2022-10-28,2023-03-21 17:46:00,144,215.0,4,Bank Transfer
348,2022-05-30,2023-01-06 01:04:00,221,24.275862068965516,1,Bank Transfer
349,2023-08-03,2023-01-22 22:34:00,-193,18.97142857142857,4,PayPal
350,2022-03-22,2024-02-10 00:23:00,690,17.0,1,Bank Transfer
351,2023-09-27,2023-01-06 12:14:00,-264,138.6,2,Credit Card
352,2023-08-21,2023-02-15 03:21:00,-187,93.42857142857143,2,Debit Card
353,2023-10-16,2023-03-20 19:42:00,-210,78.14285714285714,2,PayPal
354,2023-11-14,2023-02-05 18:40:00,-282,103.5,3,Credit Card
355,2023-04-22,2023-02-09 16:23:00,-72,93.16666666666667,2,Bank Transfer
356,2022-06-11,2023-02-16 06:13:00,250,76.71428571428571,1,Cash
357,2022-12-20,2023-10-04 05:35:00,288,,1,Cash
358,2023-03-11,2023-01-13 13:12:00,-57,,1,Debit Card
359,2022-11-06,2023-02-08 12:38:00,94,91.71428571428571,3,Credit Card
360,2023-05-10,2023-02-02 14:59:00,-97,0.0,2,Bank Transfer
361,2023-08-09,2023-11-03 04:37:00,86,110.5,1,Bank Transfer
362,2023-12-18,2023-01-07 21:30:00,-345,49.75,2,Cash
363,2023-11-06,2023-01-21 18:23:00,-289,19.176470588235293,2,Bank Transfer
364,2023-08-03,2023-04-02 09:57:00,-123,121.4,3,Credit Card
365,2024-02-03,2023-01-04 15:16:00,-395,105.16666666666667,4,Debit Card
366,2022-10-21,2023-06-05 17:43:00,227,92.33333333333333,2,Cash
367,2022-12-27,2024-01-14 03:03:00,383,,1,PayPal
368,2023-09-28,2024-04-01 13:04:00,186,49.75,1,Cash
369,2024-01-09,2024-11-14 11:28:00,310,24.0,1,Credit Card
